id,profile_title,user_id,grinder,grinderBrand,grinderModel,grind,grindScale,roastLevel,beanAge,dose,volumeTarget,actualVolume,timeTarget,actualTime,humidity,waterTempC,tampPressureKg
bbbaaded-1cb4-47c5-a307-0b0f008b296e,D-Flow / Mostra_GhostBear,fe969819-f1ab-49ea-9913-96c338f9ccd8,Kafatek_MC4 49mm,Kafatek,MC4 49mm,6,,Medium,,18,,34.9,,34.927,,,
dc585976-d8f4-459f-850a-0f9df8c4d59a,Damian's LRv2,61647b9e-f5b2-4887-94bb-5859e1002796,Niche_Zero,Niche,Zero,15,,Medium Dark,,20,,43.5,,36.898,,,
fa3cc5c0-51e6-45ae-9311-0acf3268d130,Adaptive v2,f1eb7cee-413e-4d9d-a85f-cb16c8587ce2,Lagom_01 102,Lagom,01 102,12,,Light filter,,15,,36.2,,26.473,,,
67a8f398-0413-4e07-822e-4e1ecd9020e3,Visualizer/Baseline LC,223be018-e8da-403d-ad4b-444b8b25d7e1,,,,1.8,,,,18,,45.3,,30.411,,,
6372e058-d860-4186-a286-df6a1e34695d,Damian's LRv2,61647b9e-f5b2-4887-94bb-5859e1002796,Niche_Zero,Niche,Zero,14.5,,Medium Dark,,20,,43.7,,32.486,,,
b647a934-762e-407e-9123-943f07c6dbf8,Adaptive v2,9c9b0c89-2942-4196-b3d1-100a8d1a4bba,Lagom_P64,Lagom,P64,1.4,,Medium,,18,,40.1,,33.569,,,
b746997e-b6fd-4b6e-9045-2939216dd30a,Adaptive v2,9c9b0c89-2942-4196-b3d1-100a8d1a4bba,Lagom_P64,Lagom,P64,1.4,,Medium,,18,,40,,37.08,,,
c2b70a65-53e3-4992-aefd-d8e28d30e7c6,Adaptive v2,4ee192c3-48ef-4784-9774-afcfbe22941c,,,,0,,,,18,,37.4,,24.394,,,
e74932bf-dfcb-49e9-9922-9ac50ea3fb12,Visualizer/Extractamundo Tres! v2,aea86e2d-3654-4e20-a219-ab1100f9328a,Levercraft_Ultra: 98HU,Levercraft,Ultra: 98HU,1.5035,,Extra Light,,19.3,,42.2,,14.215,,,
bf23406d-2fe9-4aa5-9daa-881789102fa9,Adaptive v2,80844d80-08c1-4098-8a50-6684922d7c26,Zerno_Z1 - SSP Lab Sweet V3,Zerno,Z1 - SSP Lab Sweet V3,200,,Light,,18,,32.1,,37.933,,,
d6f1d306-53e5-4d51-84b5-45f23ab755ef,Baseline LC,e531339b-7c9d-40c5-957e-1279ff0e7c88,Zerno_Z1 SSP MPv2,Zerno,Z1 SSP MPv2,190,,Medium,,22,,49.5,,18.007,,,
08f04a77-0294-4f58-9592-7499e560426e,Adaptive v2,6fc89baf-678e-4339-a0d3-29955ef2370a,,,,7,,,,12,,41,,25.384,,,
947e5d5c-4c35-4744-9f5f-66e09778dc72,My/Londonium (90C),9278e667-c04f-4182-b0c4-0abcd730fc58,,,,0,,Light,,18,,46.9,,39.599,,,
0943ed35-4fc3-4ba2-9eec-40e4517ecedd,TurboTurbo M,43c3f16b-e16f-4e14-950f-db5defd85ab3,,,,0.1,,,,18,,35.4,,10.671,,,
ce44afe0-7862-4590-a221-86a903b7af07,Extractamundo Dos!,09bc1580-cc0f-4d07-ba54-1786b6834643,,,,1.6,,3,,18,,43.3,,25.876,,,
6c3ed53b-fc5a-467e-a2d0-da174fc0ec67,80's Espresso justerad,fe5049d0-d360-4992-acea-148d8c00040c,Option-O_Lagom P64,Option-O,Lagom P64,1.2,,medium,,18,,37,,31.485,,,
25bb6c7b-99b1-4993-8d45-ab01affb3652,TurboTurbo M,43c3f16b-e16f-4e14-950f-db5defd85ab3,,,,0.1,,,,18,,34.5,,11.706,,,
58424bed-8db8-4432-9f76-8055eea12287,Baseline HC,8c27e1fc-b77c-4a80-917a-0dee31b932b6,Lagom_P64 (MP),Lagom,P64 (MP),4.7,,Medium,,18.1,,34.1,,32.197,,,
9866ced4-e7b8-46d4-b3ec-6e522e3b2216,Damian's LM Leva,2ba7c235-db40-4f7a-af31-21ffa65a6a72,Niche_Zero,Niche,Zero,15,,,,18,,42,,32.796,,,
fdac49f9-d64d-4217-a840-90a5e9fe7e2a,Best overall pressure profile,03692070-ecd1-4874-9d5c-eb5176f851d5,Lagom_01 Mizen 102,Lagom,01 Mizen 102,1,,light,,18,,36.2,,17.006,,,
645d4fe2-f09f-45b6-b00a-774ee12d4411,Adaptive v2,52dfb648-db9b-4c69-b5cf-69c44990f4ef,,,,0,,,,19,,42.2,,24.825,,,
a6e409f9-28a2-4246-93a4-76e45e251908,Baseline MC,706875e5-284d-4d43-a912-9a380d963c0d,DF64_SSP MP,DF64,SSP MP,17,,Light,,15,,37.9,,20.425,,,
932c5c67-fedf-4b68-a43c-282c99239737,TurboTurbo M,43c3f16b-e16f-4e14-950f-db5defd85ab3,,,,0.1,,,,18,,35.2,,10.459,,,
3085ee1f-27c5-4518-845e-dc2bff34b03a,Adaptive v2,52dfb648-db9b-4c69-b5cf-69c44990f4ef,,,,0,,,,19,,41.1,,25.836,,,
0f6df4a6-5bfa-4935-bfb0-75224dfec56f,TurboTurbo M,43c3f16b-e16f-4e14-950f-db5defd85ab3,,,,0.1,,,,18,,35.4,,12.328,,,
f78434f9-0f0d-4674-bed2-fbd92d61578c,CUCKOO OXO Med,6c0ecb39-298b-49b6-bdcf-2ca170ebff9c,,,,3.5,,,,17.5,,39.7,,54.635,,,
497d4cfa-352c-4a25-8af4-54c5b1208308,Adaptive v2,6fc89baf-678e-4339-a0d3-29955ef2370a,,,,10.5,,,,18,,50.6,,27.541,,,
b073e4c9-1ead-4c62-ad49-fa77e8006edd,CUCKOO OXO Med,6c0ecb39-298b-49b6-bdcf-2ca170ebff9c,,,,3.5,,,,17.5,,40.1,,45.043,,,
b1c7f434-5b56-4e76-9784-96bc57d433bd,Damian's LRv3,6d9f54de-d3e6-4177-9369-ef047a8255f7,varia,varia,,5.5,,medium dark,,12,,27.4,,45.045,,,
742ddfa6-23b9-4c28-a7e3-808b453de076,A-Flow / AJ49-Reg,ff28e7c9-bf87-45e6-a165-67e2b1a19d0e,NicheZero,NicheZero,,1,,,,16.5,,32.8,,37.67,,,
35a39ee3-a64e-4819-8972-6924d6436be9,Lever Fever,901cd78d-cdaa-496f-aba2-4f52b4afeaf5,,,,0,,,,17,,34.3,,35.638,,,
8d269f74-3d7b-4826-89bf-dd0482a6626c,D-Flow / entkoffeiniert,6d9f54de-d3e6-4177-9369-ef047a8255f7,varia,varia,,5.5,,medium dark,,12,,23.4,,53.192,,,
8d98ac50-1a9f-44db-8005-3354f5f415af,Kyle/Extractamundo Dos!,b1c2703d-c324-4982-ad90-5925ec160d5a,Zerno_Z1 - CV3,Zerno,Z1 - CV3,175,,Light medium,,18,,52.5,,27.074,,,
e476eed7-5277-4626-a4a0-7e3262b662d2,Blooming Espresso,3baf1e52-eb9f-4378-a2b8-4ce008ad74bc,zerno_ssp hu,zerno,ssp hu,165,,Light,,16,,48,,59.354,,,
cf52e3e3-d513-49da-bc90-d02d4728d02e,Lever Fever,901cd78d-cdaa-496f-aba2-4f52b4afeaf5,,,,0,,,,17,,35.5,,54.988,,,
285f7150-b3c3-467a-859e-cd147bd7d4a0,A-Flow / default-medium,bd4cb30f-0885-4f94-bbc0-ac42f27782b0,st_anthonys,st,anthonys,23,,medium,,18.5,,40.6,,32.623,,,
ae45e991-0f46-4a7a-9661-1f7ff5568bc6,E61 with fast preinfusion to 9 bar,b7dbb68a-29ea-49a3-b017-1be2f5c3cf6c,,,,12,,,,16,,32.1,,18.377,,,
dcbc1540-fba7-4da7-a7fc-6c06f94b90fa,intelligentsia,d9c727cb-b510-485b-9f94-e1fe4a4f5270,,,,15,,medium,,19,,43.7,,25.237,,,
